time,high
2018-08-17 00:00:00,6421.95
2018-08-16 23:00:00,6419.92
2018-08-16 22:00:00,6362.66
2018-08-16 21:00:00,6347.39
2018-08-16 20:00:00,6468
2018-08-16 19:00:00,6446.14
2018-08-16 18:00:00,6467.5
2018-08-16 17:00:00,6415
2018-08-16 16:00:00,6420
2018-08-16 15:00:00,6418.18
2018-08-16 14:00:00,6302.65
2018-08-16 13:00:00,6314
2018-08-16 12:00:00,6320
2018-08-16 11:00:00,6336.46
2018-08-16 10:00:00,6299
2018-08-16 09:00:00,6302.41
2018-08-16 08:00:00,6322.61
2018-08-16 07:00:00,6345.57
